Source,Target,Value
BIOL 2315,BIOL 4415,1
BIOL 4315,BIOL 4415,1
BIOL 2315,BIOL 4415,1
BIOL 4315,BIOL 4415,1
FLMA 1170,FLMA 1281,1
FLMA 1181,FLMA 1281,1
FLMA 1170,FLMA 1281,1
FLMA 1181,FLMA 1281,1
DSGN 2054,DSGN 2354,1
DSGN 2155,DSGN 2354,1
DSGN 2151,DSGN 2354,1
DSGN 2054,DSGN 2354,1
DSGN 2155,DSGN 2354,1
DSGN 2151,DSGN 2354,1
CHIN 1117,CHIN 1217,1
CHIN 1117,CHIN 1217,1
MATH 1171,MATH 1275,1
MATH 1173,MATH 1275,1
MATH 1174,MATH 1275,1
MATH 1175,MATH 1275,1
MATH 1253,MATH 1275,1
MATH 1171,MATH 1275,1
MATH 1173,MATH 1275,1
MATH 1174,MATH 1275,1
MATH 1175,MATH 1275,1
MATH 1253,MATH 1275,1
GERO 1400,GERO 2400,1
GERO 1400,GERO 2400,1
CHIN 1115,CHIN 1215,1
CHIN 1115,CHIN 1215,1
ANTH 1120,SOCI 2225,1
SOCI 1120,SOCI 2225,1
SOCI 1121,SOCI 2225,1
SOCI 1127,SOCI 2225,1
ANTH 1120,SOCI 2225,1
SOCI 1120,SOCI 2225,1
SOCI 1121,SOCI 2225,1
SOCI 1127,SOCI 2225,1
PHOT 1100,PHOT 1150,1
PHOT 1105,PHOT 1150,1
PHOT 1100,PHOT 1150,1
PHOT 1105,PHOT 1150,1
JOUR 2279,JOUR 2475,1
JOUR 2380,JOUR 2475,1
JOUR 2279,JOUR 2475,1
JOUR 2380,JOUR 2475,1
French 11,FREN 1117,1
FREN 1215,FREN 1117,1
French 11,FREN 1117,1
FREN 1215,FREN 1117,1
APPL 5110,APPL 5240,1
APPL 5120,APPL 5240,1
APPL 5130,APPL 5240,1
APPL 5140,APPL 5240,1
ECED 2415,ECED 2419,1
ECED 2417,ECED 2419,1
ECED 2418,ECED 2419,1
PSYC 2318,ECED 2419,1
ECED 2415,ECED 2419,1
ECED 2417,ECED 2419,1
ECED 2418,ECED 2419,1
PSYC 2318,ECED 2419,1
GEOG 1180,GEOG 2280,1
GEOG 1180,GEOG 2280,1
PHIL 2226,POLI 2260,1
POLI 1160,POLI 2260,1
PHIL 2226,POLI 2260,1
POLI 1160,POLI 2260,1
BIOL 1115,BIOL 2450,1
BIOL 1215,BIOL 2450,1
BIOL 1115,BIOL 2450,1
BIOL 1215,BIOL 2450,1
PHOT 1105,PHOT 1110,1
PHOT 1125,PHOT 1110,1
PHOT 1105,PHOT 1110,1
PHOT 1125,PHOT 1110,1
Data Analytics Mathematics Assessment (DAMA),MATH 4801,1
Data Analytics Mathematics Assessment (DAMA),MATH 4801,1
BIOL 1115,BIOL 2415,1
BIOL 1215,BIOL 2415,1
BIOL 1115,BIOL 2415,1
BIOL 1215,BIOL 2415,1
PHOT 1120,PHOT 2310,1
PHOT 1205,PHOT 2310,1
PHOT 1210,PHOT 2310,1
PHOT 1225,PHOT 2310,1
PHOT 1120,PHOT 2310,1
PHOT 1205,PHOT 2310,1
PHOT 1210,PHOT 2310,1
PHOT 1225,PHOT 2310,1
FINA 2172,FINA 2272,1
FINA 2172,FINA 2272,1
DSGN 1156,DSGN 1256,1
DSGN 1156,DSGN 1256,1
FMGT 4824,FMGT 4828,1
FMGT 4824,FMGT 4828,1
WMDD 4860,WMDD 4961,1
WMDD 4860,WMDD 4961,1
FMGT 4800,FMGT 4810,1
FMGT 4800,FMGT 4810,1
PHOT 1205,PHOT 2325,1
PHOT 1210,PHOT 2325,1
PHOT 1225,PHOT 2325,1
PHOT 1205,PHOT 2325,1
PHOT 1210,PHOT 2325,1
PHOT 1225,PHOT 2325,1
CHIN 1215,CHIN 1117,1
CHIN 1215,CHIN 1117,1
LIBR 1111,LIBR 2195,1
LIBR 1118,LIBR 2195,1
LIBR 1120,LIBR 2195,1
LIBR 2328,LIBR 2195,1
LIBR 2416,LIBR 2195,1
LIBR 1111,LIBR 2195,1
LIBR 1118,LIBR 2195,1
LIBR 1120,LIBR 2195,1
LIBR 2328,LIBR 2195,1
LIBR 2416,LIBR 2195,1
NURS 5100,NURS 5275,1
NURS 5125,NURS 5275,1
NURS 5145,NURS 5275,1
NURS 5185,NURS 5275,1
NURS 5100,NURS 5275,1
NURS 5125,NURS 5275,1
NURS 5145,NURS 5275,1
NURS 5185,NURS 5275,1
POLI 1100,POLI 2229,1
POLI 1119,POLI 2229,1
POLI 2250,POLI 2229,1
POLI 1100,POLI 2229,1
POLI 1119,POLI 2229,1
POLI 2250,POLI 2229,1
FREN 1119,FREN 1219,1
FREN 1119,FREN 1219,1
CPSC 1160,CPSC 2810,1
CPSC 1181,CPSC 2810,1
CPSC 1280,CPSC 2810,1
CPSC 1160,CPSC 2810,1
CPSC 1181,CPSC 2810,1
CPSC 1280,CPSC 2810,1
FMGT 4225,FMGT 4540,1
FMGT 4875,FMGT 4540,1
FMGT 4510,FMGT 4540,1
FMGT 4225,FMGT 4540,1
FMGT 4875,FMGT 4540,1
FMGT 4510,FMGT 4540,1
ECED 1119,ECED 1219,1
ECED 1119,ECED 1219,1
DSGN 1250,DSGN 2151,1
DSGN 1250,DSGN 2151,1
STAT 4800,STAT 4810,1
STAT 4800,STAT 4810,1
FINA 1120,FINA 1220,1
FINA 1120,FINA 1220,1
GEOG 1190,GEOG 2290,1
GEOL 1107,GEOG 2290,1
GEOL 1110,GEOG 2290,1
GEOG 1190,GEOG 2290,1
GEOL 1107,GEOG 2290,1
GEOL 1110,GEOG 2290,1
WMDD 4800,WMDD 4885,1
WMDD 4811,WMDD 4885,1
WMDD 4815,WMDD 4885,1
WMDD 4820,WMDD 4885,1
WMDD 4825,WMDD 4885,1
WMDD 4800,WMDD 4885,1
WMDD 4811,WMDD 4885,1
WMDD 4815,WMDD 4885,1
WMDD 4820,WMDD 4885,1
WMDD 4825,WMDD 4885,1
BUSM 4805,FMGT 4818,1
FMGT 4810,FMGT 4818,1
BUSM 4805,FMGT 4818,1
FMGT 4810,FMGT 4818,1
PSYC 1115,PSYC 3210,1
PSYC 1215,PSYC 3210,1
BUSM 2200,PSYC 3210,1
PSYC 1115,PSYC 3210,1
PSYC 1215,PSYC 3210,1
BUSM 2200,PSYC 3210,1
ECED 1118,ECED 1218,1
ECED 1118,ECED 1218,1
FMGT 3121,FMGT 4560,1
FMGT 4510,FMGT 4560,1
FMGT 3121,FMGT 4560,1
FMGT 4510,FMGT 4560,1
RECR 1000,RECR 1002,1
RECR 1001,RECR 1002,1
RECR 1000,RECR 1002,1
RECR 1001,RECR 1002,1
PHOT 1105,PHOT 1125,1
PHOT 1105,PHOT 1125,1
FREN 1115,FREN 1215,1
FREN 1115,FREN 1215,1
ENGL 1123,ENVS 2410,1
ENGL 1127,ENVS 2410,1
ENGL 1128,ENVS 2410,1
ENGL 1123,ENVS 2410,1
ENGL 1127,ENVS 2410,1
ENGL 1128,ENVS 2410,1
BUSM 4805,FMGT 4860,1
FMGT 4800,FMGT 4860,1
MATH 4800,FMGT 4860,1
BUSM 4805,FMGT 4860,1
FMGT 4800,FMGT 4860,1
MATH 4800,FMGT 4860,1
POLI 1100,POLI 2209,1
POLI 1119,POLI 2209,1
POLI 2250,POLI 2209,1
POLI 1100,POLI 2209,1
POLI 1119,POLI 2209,1
POLI 2250,POLI 2209,1
DSGN 1155,DSGN 1153,1
DSGN 1155,DSGN 1153,1
CHIN 2211,CHIN 2213,1
CHIN 2211,CHIN 2213,1
JOUR 1122,JOUR 2420,1
JOUR 1128,JOUR 2420,1
JOUR 1224,JOUR 2420,1
JOUR 1244,JOUR 2420,1
JOUR 1122,JOUR 2420,1
JOUR 1128,JOUR 2420,1
JOUR 1224,JOUR 2420,1
JOUR 1244,JOUR 2420,1
THEA 2260,THEA 2360,1
THEA 2260,THEA 2360,1
STAT 1181,STAT 3225,1
STAT 2281,STAT 3225,1
STAT 1181,STAT 3225,1
STAT 2281,STAT 3225,1
JOUR 1142,JOUR 1240,1
JOUR 1142,JOUR 1240,1
FMGT 1215,FMGT 2485,1
FMGT 2293,FMGT 2485,1
FMGT 1215,FMGT 2485,1
FMGT 2293,FMGT 2485,1
JAPN 1215,JAPN 1117,1
JAPN 1215,JAPN 1117,1
KINS 1131,KINS 1132,1
KINS 1131,KINS 1132,1
WMST 1116,WMST 2272,1
WMST 1216,WMST 2272,1
WMST 1116,WMST 2272,1
WMST 1216,WMST 2272,1
NURS 3309,NURS 4109,1
NURS 3321,NURS 4109,1
NURS 3362,NURS 4109,1
NURS 3363,NURS 4109,1
NURS 3309,NURS 4109,1
NURS 3321,NURS 4109,1
NURS 3362,NURS 4109,1
NURS 3363,NURS 4109,1
FINA 1111,FINA 2111,1
FINA 1120,FINA 2111,1
FINA 1171,FINA 2111,1
FINA 1111,FINA 2111,1
FINA 1120,FINA 2111,1
FINA 1171,FINA 2111,1
EDAS 1110,EDAS 1210,1
EDAS 1110,EDAS 1210,1
NURS 5100,NURS 5280,1
NURS 5120,NURS 5280,1
NURS 5125,NURS 5280,1
NURS 5145,NURS 5280,1
NURS 5150,NURS 5280,1
NURS 5100,NURS 5280,1
NURS 5120,NURS 5280,1
NURS 5125,NURS 5280,1
NURS 5145,NURS 5280,1
NURS 5150,NURS 5280,1
THEA 2160,THEA 2260,1
THEA 2160,THEA 2260,1
BIOL 2370,BIOL 2470,1
BIOL 2370,BIOL 2470,1
BUSM 4805,INTB 4810,1
BUSM 4810,INTB 4810,1
BUSM 4820,INTB 4810,1
BUSM 4805,INTB 4810,1
BUSM 4810,INTB 4810,1
BUSM 4820,INTB 4810,1
JOUR 1128,JOUR 2456,1
JOUR 1128,JOUR 2456,1
CPSC 1150,CPSC 1490,1
CPSC 1155,CPSC 1490,1
CPSC 1150,CPSC 1490,1
CPSC 1155,CPSC 1490,1
ECED 1119,ECED 1319,1
ECED 1219,ECED 1319,1
ECED 1119,ECED 1319,1
ECED 1219,ECED 1319,1
FLMA 1170,FLMA 1282,1
FLMA 1182,FLMA 1282,1
FLMA 1170,FLMA 1282,1
FLMA 1182,FLMA 1282,1
PHOT 1105,PHOT 1151,1
PHOT 1105,PHOT 1151,1
PSYC 1115,PSYC 2341,1
PSYC 1215,PSYC 2341,1
PSYC 1115,PSYC 2341,1
PSYC 1215,PSYC 2341,1
BUSM 4805,MARK 4810,1
MARK 4800,MARK 4810,1
BUSM 4805,MARK 4810,1
MARK 4800,MARK 4810,1
CPSC 1030,CPSC 2600,1
CPSC 1045,CPSC 2600,1
CPSC 1030,CPSC 2600,1
CPSC 1045,CPSC 2600,1
BIOL 1115,BIOL 2340,1
BIOL 1215,BIOL 2340,1
BIOL 1115,BIOL 2340,1
BIOL 1215,BIOL 2340,1
FMGT 2294,FMGT 2423,1
FMGT 2294,FMGT 2423,1
WMDD 4900,WMDD 4915,1
WMDD 4900,WMDD 4915,1
CPSC 1150,CPSC 1491,1
CPSC 1155,CPSC 1491,1
CPSC 1150,CPSC 1491,1
CPSC 1155,CPSC 1491,1
PHOT 2475,PHOT 2485,1
PHOT 2475,PHOT 2485,1
BIOL 2192,BIOL 2292,1
NURS 1263,BIOL 2292,1
BIOL 2192,BIOL 2292,1
NURS 1263,BIOL 2292,1
ECED 1319,ECED 1329,1
ECED 1319,ECED 1329,1
LIBR 1118,LIBR 2418,1
LIBR 1118,LIBR 2418,1
SOCI 1120,SOCI 2270,1
SOCI 1121,SOCI 2270,1
SOCI 1120,SOCI 2270,1
SOCI 1121,SOCI 2270,1
FINA 1171,FINA 2162,1
FINA 1161,FINA 2162,1
FINA 1171,FINA 2162,1
FINA 1161,FINA 2162,1
CPSC 4800,CPSC 4810,1
CPSC 4800,CPSC 4810,1
GEOL 1115,GEOL 2215,1
GEOL 1115,GEOL 2215,1
ENGL 2226,ENGL 2286,1
ENGL 2226,ENGL 2286,1
WMDD 4825,WMDD 4925,1
WMDD 4825,WMDD 4925,1
CHIN 1217,CHIN 2211,1
CHIN 1217,CHIN 2211,1
FMGT 4820,FMGT 4875,1
FMGT 4824,FMGT 4875,1
FMGT 4870,FMGT 4875,1
FMGT 4820,FMGT 4875,1
FMGT 4824,FMGT 4875,1
FMGT 4870,FMGT 4875,1
ECED 2415,ECED 2417,1
PSYC 2318,ECED 2417,1
ECED 2415,ECED 2417,1
PSYC 2318,ECED 2417,1
THEA 2360,THEA 3460,1
THEA 2360,THEA 3460,1
CPSC 4800,CPSC 4820,1
DANA 4800,CPSC 4820,1
CPSC 4800,CPSC 4820,1
DANA 4800,CPSC 4820,1
BUSM 4805,MARK 4830,1
MARK 4820,MARK 4830,1
BUSM 4805,MARK 4830,1
MARK 4820,MARK 4830,1
POLI 1119,POLI 2239,1
POLI 1119,POLI 2239,1
FINA 2141,FINA 2241,1
FINA 2141,FINA 2241,1
FMGT 3263,FMGT 4530,1
FMGT 4880,FMGT 4530,1
FMGT 4510,FMGT 4530,1
FMGT 3263,FMGT 4530,1
FMGT 4880,FMGT 4530,1
FMGT 4510,FMGT 4530,1
BIOL 1115,BIOL 1215,1
BIOL 1115,BIOL 1215,1
WMDD 4855,WMDD 4930,1
WMDD 4855,WMDD 4930,1
BIOL 1215,BIOL 2480,1
BIOL 1215,BIOL 2480,1
Physics 11,ASTR 1102,1
Mathematics 12,ASTR 1102,1
Precalculus 12,ASTR 1102,1
Physics 11,ASTR 1102,1
Mathematics 12,ASTR 1102,1
Precalculus 12,ASTR 1102,1
BUSM 4805,MARK 4840,1
MARK 4800,MARK 4840,1
STAT 4800,MARK 4840,1
BUSM 4805,MARK 4840,1
MARK 4800,MARK 4840,1
STAT 4800,MARK 4840,1
THEA 1110,THEA 2160,1
THEA 1120,THEA 2160,1
THEA 1130,THEA 2160,1
THEA 1140,THEA 2160,1
THEA 1110,THEA 2160,1
THEA 1120,THEA 2160,1
THEA 1130,THEA 2160,1
THEA 1140,THEA 2160,1
JAPN 1115,JAPN 1210,1
JAPN 1115,JAPN 1210,1
JAPN 1117,JAPN 1217,1
JAPN 1117,JAPN 1217,1
NUTR 2322,NUTR 2422,1
NUTR 2322,NUTR 2422,1
NURS 5265,NURS 5285,1
NURS 5275,NURS 5285,1
NURS 5280,NURS 5285,1
NURS 5265,NURS 5285,1
NURS 5275,NURS 5285,1
NURS 5280,NURS 5285,1
DSGN 1153,DSGN 2054,1
DSGN 1250,DSGN 2054,1
DSGN 1265,DSGN 2054,1
DSGN 1154,DSGN 2054,1
DSGN 1255,DSGN 2054,1
DSGN 1153,DSGN 2054,1
DSGN 1250,DSGN 2054,1
DSGN 1265,DSGN 2054,1
DSGN 1154,DSGN 2054,1
DSGN 1255,DSGN 2054,1
CHEM 1220,CHEM 2222,1
CHEM 1220,CHEM 2222,1
STAT 1123,STAT 3222,1
STAT 1124,STAT 3222,1
STAT 1181,STAT 3222,1
STAT 1123,STAT 3222,1
STAT 1124,STAT 3222,1
STAT 1181,STAT 3222,1
CPSC 2150,CPSC 4160,1
CPSC 3260,CPSC 4160,1
MATH 1252,CPSC 4160,1
STAT 3225,CPSC 4160,1
CPSC 2150,CPSC 4160,1
CPSC 3260,CPSC 4160,1
MATH 1252,CPSC 4160,1
STAT 3225,CPSC 4160,1
CSIS 1300,CSIS 1310,1
CSIS 1300,CSIS 1310,1
ANTH 1120,ANTH 2260,1
SOCI 1120,ANTH 2260,1
SOCI 1121,ANTH 2260,1
ANTH 1120,ANTH 2260,1
SOCI 1120,ANTH 2260,1
SOCI 1121,ANTH 2260,1
